Date,Precipitation
01-01-1980,6.44
01-02-1980,10.76
01-03-1980,18
01-04-1980,23.07
01-05-1980,54.9
01-06-1980,193.22
01-07-1980,292.91
01-08-1980,273.94
01-09-1980,123.41
01-10-1980,47.64
01-11-1980,21.44
01-12-1980,17.19
01-01-1981,20.72
01-02-1981,8.59
01-03-1981,34.1
01-04-1981,35.36
01-05-1981,64.94
01-06-1981,142.82
01-07-1981,319.13
01-08-1981,253.92
01-09-1981,204.78
01-10-1981,52.51
01-11-1981,22.46
01-12-1981,11.81
01-01-1982,17.44
01-02-1982,11.22
01-03-1982,25.78
01-04-1982,38.18
01-05-1982,52.07
01-06-1982,128.74
01-07-1982,250.82
01-08-1982,246.21
01-09-1982,132.02
01-10-1982,50.98
01-11-1982,42.83
01-12-1982,7.04
01-01-1983,11.92
01-02-1983,12.4
01-03-1983,18.95
01-04-1983,28.01
01-05-1983,63.77
01-06-1983,152.79
01-07-1983,305
01-08-1983,293.46
01-09-1983,222.19
01-10-1983,94.99
01-11-1983,10.81
01-12-1983,22.48
01-01-1984,17.29
01-02-1984,21.04
01-03-1984,12.59
01-04-1984,36.44
01-05-1984,45.96
01-06-1984,146.52
01-07-1984,290.02
01-08-1984,245.52
01-09-1984,157.82
01-10-1984,60.85
01-11-1984,11.33
01-12-1984,9.72
01-01-1985,16.51
01-02-1985,5.95
01-03-1985,14.27
01-04-1985,27.48
01-05-1985,55.82
01-06-1985,129.78
01-07-1985,290.74
01-08-1985,241.93
01-09-1985,142.72
01-10-1985,114.52
01-11-1985,16.84
01-12-1985,16.27
01-01-1986,11.49
01-02-1986,18.27
01-03-1986,12
01-04-1986,31.59
01-05-1986,52.54
01-06-1986,151.97
01-07-1986,256.5
01-08-1986,241.91
01-09-1986,133.26
01-10-1986,65.73
01-11-1986,39.95
01-12-1986,16.95
01-01-1987,11.22
01-02-1987,10.64
01-03-1987,22.28
01-04-1987,32.68
01-05-1987,46.76
01-06-1987,120.76
01-07-1987,208.84
01-08-1987,274.18
01-09-1987,122.29
01-10-1987,85.95
01-11-1987,25.29
01-12-1987,24.49
01-01-1988,4.57
01-02-1988,11.77
01-03-1988,23.35
01-04-1988,39.78
01-05-1988,58.37
01-06-1988,166.4
01-07-1988,354.92
01-08-1988,283.73
01-09-1988,230.8
01-10-1988,49.68
01-11-1988,20.87
01-12-1988,15.84
01-01-1989,14.7
01-02-1989,6.41
01-03-1989,22.48
01-04-1989,19.33
01-05-1989,46.18
01-06-1989,152.33
01-07-1989,298.3
01-08-1989,232.41
01-09-1989,157.9
01-10-1989,58.81
01-11-1989,15.52
01-12-1989,9.66
01-01-1990,6.29
01-02-1990,27.74
01-03-1990,28.94
01-04-1990,28.16
01-05-1990,85.53
01-06-1990,179.54
01-07-1990,285.45
01-08-1990,301.58
01-09-1990,173.05
01-10-1990,86.77
01-11-1990,25.31
01-12-1990,13.79
01-01-1991,12.2
01-02-1991,12.26
01-03-1991,14.7
01-04-1991,31.72
01-05-1991,52.32
01-06-1991,175.95
01-07-1991,255.15
01-08-1991,234
01-09-1991,139.25
01-10-1991,65.58
01-11-1991,28.59
01-12-1991,11.48
01-01-1992,13.59
01-02-1992,14.1
01-03-1992,11.37
01-04-1992,15.74
01-05-1992,51.26
01-06-1992,104.92
01-07-1992,218.17
01-08-1992,254.1
01-09-1992,175.54
01-10-1992,68.84
01-11-1992,33.44
01-12-1992,4
01-01-1993,7.86
01-02-1993,12.86
01-03-1993,21.85
01-04-1993,22.92
01-05-1993,62.17
01-06-1993,149.47
01-07-1993,288.04
01-08-1993,192.12
01-09-1993,189.42
01-10-1993,82.94
01-11-1993,23.14
01-12-1993,14.13
01-01-1994,20.93
01-02-1994,16.09
01-03-1994,14.12
01-04-1994,35.47
01-05-1994,42.07
01-06-1994,162.14
01-07-1994,334.13
01-08-1994,265.94
01-09-1994,149.81
01-10-1994,90.55
01-11-1994,19.43
01-12-1994,5.59
01-01-1995,24.75
01-02-1995,15.43
01-03-1995,23.12
01-04-1995,21.68
01-05-1995,55.51
01-06-1995,137.08
01-07-1995,319.03
01-08-1995,253.15
01-09-1995,184.3
01-10-1995,81.55
01-11-1995,24.43
01-12-1995,6.71
01-01-1996,16.35
01-02-1996,12.32
01-03-1996,16.2
01-04-1996,30.77
01-05-1996,39.44
01-06-1996,166.75
